country,iso3,year,target,mortality_data,risk_factor_surveys,plan,tob_tax,smoke_free,graphic_warnings,tob_advert,tob_mass_media,alc_sales,alc_advert,alc_tax,salt,fat,child_food_marketing,milkcode,phys_mass_media,clinical_guide,cardio_therapies,total_imp,commercial_total
Syrian Arab Republic,SYR,2015,0,0.5,0,0,NA,0.5,0,0.5,NA,0.5,0.5,0.5,0,0,0,NA,0,0,0,3,2.5
Syrian Arab Republic,SYR,2017,0,0.5,0,0,0.5,0.5,0,0.5,0,1,0.5,1,0,0,0,0.5,0,0.5,0.5,6,4.5
Syrian Arab Republic,SYR,2019,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,4,2.5
Syrian Arab Republic,SYR,2022,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,1,0.5,4.5,2.5
Tajikistan,TJK,2015,1,0.5,0.5,1,0,0,0,0.5,NA,0.5,0,1,1,1,1,0,1,1,0,10,5
Tajikistan,TJK,2017,1,0.5,0.5,1,0,0,0,0.5,0,0.5,0.5,0.5,1,1,1,0.5,0,1,0,9.5,5.5
Tajikistan,TJK,2019,1,0.5,1,1,0,1,0.5,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,1,0,9.5,5
Tajikistan,TJK,2022,1,0.5,1,1,0,1,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0,1,0,11,6.5
Thailand,THA,2015,1,0.5,1,0,0.5,1,1,0.5,NA,1,1,0.5,0,0,0,NA,1,1,0,10,5.5
Thailand,THA,2017,1,0.5,1,1,0.5,1,1,0.5,1,1,1,0.5,1,0,0,0,1,1,1,14,7.5
Thailand,THA,2019,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0,1,0.5,1,0.5,1,1,1,15,9
Thailand,THA,2022,1,0.5,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.5,1,0.5,1,1,1,16,10
Timor-Leste,TLS,2015,1,0,0.5,0,0,0,0,0,NA,0.5,0,0.5,NA,NA,1,NA,1,0,NA,4.5,2
Timor-Leste,TLS,2017,1,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,1,1,0,7.5,3
Timor-Leste,TLS,2019,1,0,0.5,1,0,0.5,1,0.5,1,0.5,0,0.5,0.5,1,0,0,0,1,0,9,5.5
Timor-Leste,TLS,2022,1,0,0.5,1,0,0.5,1,0.5,1,0.5,0,0.5,0,0,0,0,0,1,0,7.5,4
Togo,TGO,2015,1,0,0.5,1,0,0.5,0.5,1,NA,0.5,0,1,0,0,0,0,1,0.5,0,7.5,3.5
Togo,TGO,2017,1,0,0.5,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0,0,0,0,0.5,0,5,3
Togo,TGO,2019,1,0,0.5,0,0,0.5,0.5,1,1,0.5,0,0.5,0,0,0,0,0,0.5,0,6,4
Togo,TGO,2022,1,0,0,1,0,0.5,0.5,1,1,0.5,0,0.5,0,0,0,0,NA,0,0,6,4
Tonga,TON,2015,1,0,0.5,0.5,0.5,0,0.5,0.5,NA,1,0,0.5,0,NA,NA,0,1,0.5,0,6.5,3
Tonga,TON,2017,1,0,0.5,1,0.5,0.5,0.5,0.5,1,NA,NA,NA,0,0,0,NA,1,0.5,0,7,3
Tonga,TON,2019,1,0,1,1,0.5,0.5,0.5,0.5,1,1,0,0.5,0,0,0,0,1,1,1,10.5,4.5
Tonga,TON,2022,1,0,1,0,0.5,0.5,0.5,0.5,1,1,0,0.5,0,0,0,0,0,1,1,8.5,4.5
Trinidad and Tobago,TTO,2015,NA,1,NA,NA,0,1,1,0,NA,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,5,4
Trinidad and Tobago,TTO,2017,1,0.5,0.5,0.5,0,1,1,0,0,0.5,0,0.5,0,0,0,0.5,1,NA,1,8,3.5
Trinidad and Tobago,TTO,2019,1,0.5,0.5,0.5,0,1,1,0,0,0.5,0,0.5,0,0,0,0.5,1,NA,1,8,3.5
Trinidad and Tobago,TTO,2022,1,0.5,0.5,0.5,0,1,1,0,0,0.5,0,0.5,0,0,0,0.5,0.5,NA,1,7.5,3.5
